sample_id,specialty,question,answer,rationale,A,B,C,D,E,model_answer,model rationale,correct,model number
00a0c5c3ecc24277534918a48a8fc2d85c8d606be1d439c2a9a23937032db455,Internal_Medicine,"Question: What is the recommended method for preventing the transmission of tuberculosis (TB)?
###Options:
A.  Handwashing with soap and water
B.  Using insect repellents
C.  Sleeping under mosquito nets
D.  Wearing respiratory masks in crowded places
E.  Regular exercise

###Answer:",D,"Wearing respiratory masks in crowded places helps prevent the inhalation of TB bacteria, especially in areas with high TB prevalence.",Handwashing with soap and water,Using insect repellents,Sleeping under mosquito nets,Wearing respiratory masks in crowded places,Regular exercise,D,"D. Wearing respiratory masks in crowded places

Rationale: Tuberculosis (TB) is an airborne infectious disease caused by the bacterium Mycobacterium tuberculosis. It is transmitted through the air when an infected person coughs, sneezes, speaks, or sings, releasing tiny droplets containing the bacteria. The most effective way to prevent the transmission of TB in crowded places is by wearing respiratory masks, particularly N95 masks, which can filter out the small droplets carrying the bacteria.

Handwashing with soap and water (option A) is essential for maintaining general hygiene and preventing the spread of many infections, but it is not the primary method for preventing TB transmission.

Using insect repellents (option B) and sleeping under mosquito nets (option C) are effective measures against mosquito-borne diseases like malaria or dengue fever, but they do not provide protection against airborne infections like TB.

Regular exercise (option E) is beneficial for overall health and can help boost the immune system, but it does not directly prevent the transmission of TB in crowded places.",True,model1
0111bb9d8842f840bcc6ee529c481f3c3bd67808982f953738695700e226775d,Obstetrics_and_Gynecology,"Question: A 24-year-old woman G2P0010 had a pregnancy complicated by abruptio placentae leading to fetal death at 38 weeks gestation. There was no etiology found after a diligent search. Which of the following statements is most accurate regarding this pregnancy?
###Options:
A.  With no etiology found, the risk of abruption in this current pregnancy is the same as any other pregnant patient
B.  Antenatal testing with biophysical profile should be considered starting at 34 to 35 weeks gestation
C.  Induction of labor should be considered at 37 to 38 weeks gestation.
D.  Weekly ultrasound examinations screening for retroplacental hemorrhage should be considered starting at 32 weeks gestation

###Answer:",C,"A history of abruption that is unexplained confers an increased risk of abruption with subsequent pregnancies. Antenatal testing does not predict acute events such as abruption. Rather, fetal testing such as biophysical profile is designed to identify chronic uteroplacental insufficiency such as caused by chronic hypertension, renal insufficiency, or maternal lupus. Ultrasound has poor ability to identify retroplacental clots or abruption. Induction at or slightly before the time of abruption with the fetal loss, if at term, is a reasonable approach to avoid repeat abruption.","With no etiology found, the risk of abruption in this current pregnancy is the same as any other pregnant patient",Antenatal testing with biophysical profile should be considered starting at 34 to 35 weeks gestation,Induction of labor should be considered at 37 to 38 weeks gestation.,Weekly ultrasound examinations screening for retroplacental hemorrhage should be considered starting at 32 weeks gestation,,C,"C. Induction of labor should be considered at 37 to 38 weeks' gestation.

Rationale: In a patient with a history of unexplained abruptio placentae, the risk of recurrence in subsequent pregnancies is increased. While the exact cause of the previous abruption may not have been identified, the patient remains at a higher risk for recurrent abruption compared to the general population.

Given this increased risk, it is prudent to consider early delivery once fetal lung maturity is likely, typically around 37 to 38 weeks' gestation. This approach balances the risk of recurrent abruption against the risks associated with late preterm or early term delivery.

While antenatal testing (option B) and ultrasound screening (option D) may be considered as part of the management plan, they are not the most accurate statements regarding this pregnancy. The risk of recurrence is not the same as in any other pregnant patient (option A), as the history of unexplained abruption increases the risk in the current pregnancy.",True,model1
02515f966b3b25b3d0b686eb18ff5a1255b7b8b5a007017ce879a035e79985d9,Infectious_Disease,"Question: Select the situations in which the methods of sterilization or disinfection is not correctly applied
###Options:
A.  Plastic petri dishes: Hot air oven
B.  Theatre disinfection: UV radiation
C.  Skin antisepsis: Chlorhexidine in spirit
D.  Spillage of blood or serum: Hypochlorite solution

###Answer:",A,"Hot air oven, a form of dry heat requires temperatures in the range of 180°C for 2 hours. This process is used primarily for glassware.",Plastic petri dishes: Hot air oven,Theatre disinfection: UV radiation,Skin antisepsis: Chlorhexidine in spirit,Spillage of blood or serum: Hypochlorite solution,,B,"B. Theatre disinfection: UV radiation

Rationale: UV radiation is not an effective method for disinfecting an entire operating theater. While UV light can be used for surface disinfection, it has limited penetration and cannot reach shadowed areas or disinfect the air effectively. Operating theaters require more thorough disinfection methods, such as using chemical disinfectants (e.g., hydrogen peroxide vapor) or fumigation to ensure all surfaces and the air are properly disinfected.

The other options are correctly matched:
A. Plastic petri dishes can be sterilized using a hot air oven.
C. Chlorhexidine in spirit is an appropriate antiseptic for skin preparation.
D. Hypochlorite solution is suitable for disinfecting spillages of blood or serum.",False,model1
02aae19255a9aec7e27aad9da13e2fc71d28fd963a773f171eb1d8d8427b5771,Infectious_Disease,"Question: Which of the following is a method of preventing the transmission of HIV (human immunodeficiency virus)?
###Options:
A.  Hand hygiene
B.  Condom use
C.  Oral antibiotics
D.  Isolation procedures
E.  Wearing of gloves

###Answer:",B,"Condom use is an effective method of preventing the sexual transmission of HIV, along with other sexually transmitted infections (STIs). It is an important component of comprehensive HIV prevention strategies.",Hand hygiene,Condom use,Oral antibiotics,Isolation procedures,Wearing of gloves,B,"B. Condom use

Rationale: Condom use is the most effective method among the given options for preventing the transmission of HIV during sexual activity. HIV is primarily transmitted through sexual contact, sharing of needles, or from an infected mother to her child during pregnancy, childbirth, or breastfeeding.

A. Hand hygiene, while important for general infection control, does not directly prevent HIV transmission.
C. Oral antibiotics do not prevent or treat HIV infection.
D. Isolation procedures are not necessary for HIV-positive individuals in general settings.
E. Wearing gloves is important for healthcare workers to prevent exposure to blood and body fluids, but it is not a primary method of preventing HIV transmission in the general population.

Consistent and correct use of condoms during sexual activity is crucial in reducing the risk of HIV transmission by providing a barrier that prevents the exchange of bodily fluids.",True,model1
02f3101dc8b43c72285a55444004a31e2143c0eb592b9b6ed66188442e4cf5ec,Cardiology,"Question: A 58-year-old female reports that she recently stopped taking her blood pressure medications because of swelling in her feet that began shortly after she started treatment. Which is most likely to cause peripheral edema?
###Options:
A.  Atenolol
B.  Clonidine
C.  Felodipine
D.  Hydralazine
E.  Prazosin

###Answer:",C,Peripheral edema is one of the most common side effects of calcium channel blockers. None of the other agents commonly cause peripheral edema,Atenolol,Clonidine,Felodipine,Hydralazine,Prazosin,C,"C. Felodipine

Rationale: Felodipine is a calcium channel blocker (CCB), a class of medications known to cause peripheral edema as a side effect. CCBs like felodipine cause vasodilation, which can lead to increased capillary hydrostatic pressure and fluid leakage into the interstitial space, resulting in edema, particularly in the lower extremities.

The other options are less likely to cause peripheral edema:

A. Atenolol is a beta-blocker that does not commonly cause edema.
B. Clonidine is a centrally acting alpha-2 agonist that is not typically associated with edema.
D. Hydralazine is a direct vasodilator that does not frequently cause edema.
E. Prazosin is an alpha-1 blocker that can cause orthostatic hypotension but is not commonly linked to peripheral edema.

Therefore, among the given options, felodipine is the most likely cause of the patient's peripheral edema.",True,model1
04fa2897a3270076815ed74a9d23c04481da67bfdaca812170703cf9806b08f0,Gastroenterology,"Question: A 9-month-old male from Central America is brought to the emergency department with a 6-hour history of intermittent, inconsolable crying and hugging his knees to his abdomen. He has had two bloody stools and vomiting. The infant is irritable with a temperature of 38.5 C. The abdomen seems tender, and the child continues crying. What is the best initial diagnostic test?
###Options:
A.  Stool for giardia antigen, ova, and parasites
B.  Air contrast enema with a baseline scout decubitus view
C.  Abdominal ultrasound
D.  Plain radiograph of the abdomen
E.  CT scan

###Answer:",C,"The patient, being between the ages of 6 months and 4 years, most likely has ileocolic intussusception.

The history is consistent with this diagnosis, and occasionally a sausage-shaped mass can be palpated in the right upper quadrant. Plain radiographs may be helpful to exclude perforation or when ultrasound is not immediately available and can show characteristic bowel obstruction. The ""target sign,"" consisting of two concentric radiolucent circles superimposed on the right kidney, represents peritoneal fat surrounding and within the intussusception. The ""crescent sign"" is a soft tissue density representing the intussusceptum projecting into the gas of the large bowel, obscured liver margin, or lack of air in the cecum.

Air, saline, or barium enema can reduce the intussusception or make the diagnosis but are not usually the first study ordered because there is a risk of bowel rupture. Prior to the enema, the patient must be cleared for surgery. There is no preparation required for an abdominal ultrasound.

Bowel perforation must be excluded prior to radiologic intervention. Air has the least incidence of perforation.","Stool for giardia antigen, ova, and parasites",Air contrast enema with a baseline scout decubitus view,Abdominal ultrasound,Plain radiograph of the abdomen,CT scan,D,"D. Plain radiograph of the abdomen

Rationale: Based on the presenting symptoms of intermittent, inconsolable crying, drawing the knees to the abdomen, bloody stools, and vomiting in a 9-month-old infant, the most likely diagnosis is intussusception. Intussusception occurs when a portion of the intestine telescopes into an adjacent segment, causing obstruction and potentially compromising blood supply to the affected area.

In this case, the best initial diagnostic test is a plain radiograph of the abdomen. An abdominal X-ray can quickly identify signs of intestinal obstruction, such as dilated bowel loops or the presence of air-fluid levels. In intussusception, a characteristic ""target sign"" or ""crescent sign"" may be visible on the radiograph, representing the telescoped intestinal segments.

The other options are less appropriate for the initial diagnosis:

A. Stool tests for giardia antigen, ova, and parasites are useful for diagnosing parasitic infections but do not help diagnose intussusception.
B. An air contrast enema can be both diagnostic and therapeutic for intussusception, but it is not the best initial test. It is usually performed after the diagnosis is suspected based on clinical findings and plain radiographs.
C. An abdominal ultrasound can help diagnose intussusception by visualizing the telescoped intestinal segments, but it is not as readily available as a plain radiograph in an emergency setting.
E. A CT scan is not necessary for the initial diagnosis of intussusception and exposes the child to more radiation than a plain radiograph.",False,model1
0520fc7000b1f741fc8089fe95e834975d0b1819271c16dd443c9ceb10ec7ae1,Cardiology,"Question: What condition is characterized by an irregular and often rapid heart rate that can increase the risk of strokes, heart failure, and other heart-related complications?
###Options:
A.  Ventricular tachycardia
B.  Atrial fibrillation
C.  Bradycardia
D.  Ventricular fibrillation
E.  Cardiac arrest

###Answer:",B,"The correct answer is (B) Atrial fibrillation. Atrial fibrillation (AFib) is a common type of arrhythmia that involves a rapid and irregular beating of the atrial chambers of the heart, increasing the risk of stroke, heart failure, and other heart-related issues.",Ventricular tachycardia,Atrial fibrillation,Bradycardia,Ventricular fibrillation,Cardiac arrest,B,"B. Atrial fibrillation

###Rationale:
Atrial fibrillation is a condition characterized by an irregular and often rapid heart rate that can increase the risk of strokes, heart failure, and other heart-related complications. In atrial fibrillation, the heart's upper chambers (atria) beat chaotically and irregularly, out of coordination with the lower chambers (ventricles). This can cause symptoms such as heart palpitations, shortness of breath, and weakness.

Ventricular tachycardia is a fast heart rate that starts in the ventricles, but it is not necessarily irregular. Bradycardia is a slow heart rate, typically defined as a heart rate of less than 60 beats per minute. Ventricular fibrillation is a serious cardiac rhythm disturbance that can be fatal if not treated immediately. Cardiac arrest is the abrupt loss of heart function, breathing, and consciousness, which usually results from an electrical disturbance in the heart that disrupts its pumping action.

Therefore, atrial fibrillation best fits the description provided in the question.",True,model1
055d404bee43010b4d63728b9fbf181e644fbefedbec8db6144d84fc9bbb2937,Gastroenterology,"Question: Odynophagia, characterized by pain during swallowing, manifests as dysphagia. In an individual afflicted with acquired immunodeficiency syndrome (AIDS) and presenting with a CD4 cell count below 100 cells/mm3, what initial course of action is recommended?
###Options:
A.  Serum candida antigen
B.  Chest computed tomography (CT)
C.  Endoscopy
D.  Fluconazole
E.  Stool candida culture

###Answer:",D,"In individuals with AIDS presenting with a CD4 cell count <100 cells/mm3 alongside symptoms of odynophagia, esophageal candidiasis is identifiable in approximately 90% of cases. Given the notably elevated probability of Candida infection in AIDS patients, empirical therapy represents a viable approach for confirming diagnosis in such instances. It is imperative to note the absence of a serum candida antigen test. Should initial treatment fail to yield desired outcomes, subsequent consideration should be given to performing an endoscopic examination.",Serum candida antigen,Chest computed tomography (CT),Endoscopy,Fluconazole,Stool candida culture,C,"C. Endoscopy

Rationale: In an AIDS patient with a CD4 cell count below 100 cells/mm3 presenting with odynophagia and dysphagia, the most appropriate initial step is to perform an endoscopy. This is because the most likely cause of these symptoms in this clinical context is esophageal candidiasis, which is a common opportunistic infection in severely immunocompromised AIDS patients. Endoscopy allows direct visualization of the esophageal mucosa and can confirm the presence of the characteristic white plaques of candidiasis. It also allows for biopsy if needed to rule out other potential causes such as cytomegalovirus (CMV) esophagitis or Kaposi's sarcoma.

The other options are less appropriate initial steps:

A. Serum candida antigen: While it may be elevated, it is not specific enough for diagnosis and would not guide initial management.

B. Chest CT: This would not visualize the esophagus and is not indicated in the initial evaluation of dysphagia in this setting.

D. Fluconazole: While this is the treatment of choice for esophageal candidiasis, empiric therapy without a confirmed diagnosis is not recommended, as there are other potential causes that would require different management.

E. Stool candida culture: This would not diagnose esophageal candidiasis and is not relevant to the presenting symptoms.

Therefore, endoscopy is the best initial diagnostic step to confirm the suspected diagnosis of esophageal candidiasis and guide appropriate treatment in this AIDS patient with odynophagia and dysphagia.",False,model1
06d2607a09b7dd1e478c245d81c5d5ae88dfcd7fa48d82eb58bef7817d50be4c,Obstetrics_and_Gynecology,"Question: A patient has a midpelvic contracture from a previous pelvic injury due to a motor vehicle accident as a teenager. The nurse is aware that this could prevent a fetus from passing through or around which structure during childbirth?
###Options:
A.  Symphysis pubis
B.  Sacral promontory
C.  Ischial spines
D.  Pubic arch
E.  None of the above

###Answer:",C,"The ischial spines are located in the mid-pelvic region and could be narrowed due to the previous pelvic injury. The symphysis pubis, sacral promontory, and pubic arch are not part of the mid-pelvis.",Symphysis pubis,Sacral promontory,Ischial spines,Pubic arch,None of the above,C,"C. Ischial spines

Rationale: The ischial spines are bony protrusions located on the posterior aspect of the pelvis, and they form the narrowest part of the pelvic cavity. A midpelvic contracture, which is a narrowing of the pelvic cavity, can cause the ischial spines to obstruct the passage of the fetus during childbirth. This is because the fetus needs to navigate around the ischial spines to enter the pelvic outlet and be delivered.

The other options are incorrect for the following reasons:

A. Symphysis pubis: This is a cartilaginous joint located at the front of the pelvis. While a midpelvic contracture can affect the symphysis pubis, it is not the primary structure that prevents the fetus from passing through during childbirth.

B. Sacral promontory: This is the upper anterior portion of the sacrum, which forms the posterior aspect of the pelvic inlet. Although a prominent sacral promontory can obstruct the entrance of the fetus into the pelvic cavity, it is not typically affected by a midpelvic contracture.

D. Pubic arch: This is the curved anterior portion of the pelvis formed by the pubic bones. A midpelvic contracture does not directly affect the pubic arch, and it is not the primary structure preventing the fetus from passing through during childbirth.

E. None of the above: This option is incorrect because the ischial spines are the correct answer.",True,model1
0874597d60b12ec5b4be8ab974f8be88620b538dd3fa078e413c42e260a0df9a,Hematology,"Question: Which of the following is a common clinical feature of sickle cell disease in African children?
###Options:
A.  Splenomegaly
B.  Microcytic anemia
C.  Thrombocytopenia
D.  Pancytopenia
E.  Leukocytosis

###Answer:",A,Splenomegaly is a common finding in children with sickle cell disease due to sequestration of sickled red blood cells within the spleen.,Splenomegaly,Microcytic anemia,Thrombocytopenia,Pancytopenia,Leukocytosis,A,"A. Splenomegaly

Rationale: Sickle cell disease is a genetic disorder characterized by abnormal hemoglobin (HbS) that causes red blood cells to become sickle-shaped and rigid. In African children with sickle cell disease, splenomegaly is a common clinical feature due to the trapping of sickled red blood cells in the spleen, leading to its enlargement.

The other options are incorrect for the following reasons:

B. Microcytic anemia is typically associated with iron deficiency anemia, not sickle cell disease. In sickle cell disease, the anemia is usually normocytic and normochromic.

C. Thrombocytopenia is not a common feature of sickle cell disease. In fact, patients with sickle cell disease may have a slightly increased platelet count due to the chronic inflammation and hemolysis.

D. Pancytopenia, which is a reduction in all three blood cell types (red blood cells, white blood cells, and platelets), is not a typical finding in sickle cell disease.

E. Leukocytosis, an increase in white blood cell count, can occur in sickle cell disease patients during acute vaso-occlusive crises or infections. However, it is not a consistent or defining feature of the disease.",True,model1
