question,Factual_Info
"Question: What is the most probable diagnosis for a 32-year-old man who returns from a holiday in Africa and complains of a painful, red lesion on his penis?
###Options:
A.  Chancroid
B.  Lymphogranuloma venereum
C.  Granuloma inguinale (Klebsiella granulomatis infection)
D.  Secondary syphilis
E.  Genital ulcers due to donovanosis

###Answer:",Realated To Africa
"Question: Which of the following is a common etiological agent of malaria in sub-Saharan Africa?
###Options:
A.  Plasmodium falciparum
B.  Plasmodium vivax
C.  Plasmodium ovale
D.  Plasmodium malariae
E.  Plasmodium knowlesi

###Answer:",Realated To Africa
"Question: A 35-year-old woman from a rural village in Uganda presents to the clinic with a 2-week history of fever, chills, headache, and generalized body weakness. On examination, she has hepatosplenomegaly, and her peripheral blood smear shows schizonts and trophozoites of Plasmodium falciparum. Which of the following is the most likely cause of her symptoms?
###Options:
A.  Ingestion of contaminated food
B.  Bite of an infected Anopheles mosquito
C.  Contact with an infected person
D.  Contaminated water
E.  Sexual contact

###Answer:",Realated To Africa
"Question: Which of the following is a common cause of maternal mortality in African countries with limited access to emergency obstetric care?
###Options:
A.  Eclampsia
B.  Postpartum hemorrhage
C.  Placental abruption
D.  Puerperal sepsis
E.  Obstetric fistula

###Answer:",Realated To Africa
"Question: What measure has had the greatest impact on the incidence of hepatitis A in Nigeria?
###Options:
A.  Vaccination
B.  Sanitation
C.  Antibiotics
D.  Condoms
E.  prophylaxis

###Answer:",Realated To Africa
"Question: Which of the following diseases, endemic to Africa, is caused by the protozoan parasite Plasmodium and transmitted to humans through the bite of infected Anopheles mosquitoes?
###Options:
A.  Dengue fever
B.  Yellow fever
C.  Chikungunya fever
D.  Malaria
E.  Zika virus disease

###Answer:",Realated To Africa
"Question: Which of the following infectious diseases, prevalent in Africa, is caused by the Ebola virus and is characterized by symptoms such as fever, severe headache, muscle pain, fatigue, diarrhea, vomiting, and, in severe cases, hemorrhagic fever?
###Options:
A.  Lassa fever
B.  Marburg virus disease
C.  Ebola virus disease
D.  Crimean-Congo hemorrhagic fever
E.  Yellow fever

###Answer:",Realated To Africa
"Question: Which of the following is a common complication of diabetes mellitus in African populations?
###Options:
A.  Diabetic nephropathy
B.  Diabetic retinopathy
C.  Diabetic ketoacidosis
D.  Diabetic neuropathy
E.  All of the above

###Answer:",Realated To Africa
"Question: Which of the following conditions, prevalent in Africa, is characterized by an abnormal accumulation of iron in the body, leading to symptoms such as fatigue, joint pain, abdominal pain, and skin pigmentation changes?
###Options:
A.  Hemochromatosis
B.  Sickle cell disease
C.  Thalassemia
D.  Iron-deficiency anemia
E.  Hemolytic anemia

###Answer:",Realated To Africa
"Question: Which type of cardiomyopathy is associated with alcohol abuse in some African countries?
###Options:
A.  Peripartum cardiomyopathy
B.  Takotsubo cardiomyopathy
C.  Restrictive cardiomyopathy
D.  Hypertrophic cardiomyopath
E.  Dilated cardiomyopathy

###Answer:",Realated To Africa
"Question: Which of the following is a common manifestation of iodine deficiency disorders (IDD) in African populations?
###Options:
A.  Goiter
B.  Cretinism
C.  Thyroid nodules
D.  Hypothyroidism
E.  All of the above

###Answer:",Realated To Africa
"Question: Which of the following diseases, prevalent in Africa, is caused by infection with the human immunodeficiency virus (HIV) and is characterized by progressive failure of the immune system, leading to opportunistic infections and malignancies?
###Options:
A.  Hepatitis B
B.  Tuberculosis
C.  Malaria
D.  HIV/AIDS
E.  Syphilis

###Answer:",Realated To Africa
"Question: What is the most effective way to prevent the transmission of Lassa fever, a viral hemorrhagic fever that is endemic in parts of West Africa?
###Options:
A.  Contact precautions
B.  Vaccination
C.  Antiviral medication
D.  Respiratory protection
E.  Rodent control

###Answer:",Realated To Africa
"Question: A 40-year-old man from a rural African region presents with painless hematuria (blood in urine), abdominal pain, and a persistent feeling of urgency to urinate. He works in agriculture and often wades in rivers and lakes. What is the most likely diagnosis, and what is the recommended diagnostic test to confirm it?
###Options:
A.  schistosomiasis
B.  urinary tract infection
C.  bladder cancer
D.  kidney stones
E.  interstitial cystitis

###Answer:",Realated To Africa
"Question: Which of the following is a common complication of visceral leishmaniasis, a parasitic infection that is endemic in parts of Africa?
###Options:
A.  Renal failure
B.  Anemia
C.  Respiratory distress
D.  Hepatitis
E.  Blindness

###Answer:",Realated To Africa
"Question: The following programmes would enhance the realization of health for all by the year 2000 in Nigeria

###Options:
A.  Nomadic education
B.  Better life for rural women
C.  A national food policy
D.  Supply of contraceptive pills at subsidized rates
E.  Tetanus toxoid i.m. each term to all primary 6 school girls

###Answer:",Realated To Africa
"Question: In an African region with limited access to advanced cardiac imaging, a patient presents with symptoms suggestive of coronary artery disease (CAD). Which of the following is the most appropriate initial diagnostic test?
###Options:
A.  Coronary angiography
B.  Cardiac CT angiography
C.  Exercise stress test
D.  Echocardiography
E.  Myocardial perfusion imaging

###Answer:",Realated To Africa
"Question: A patient in an African region with a high prevalence of rheumatic heart disease presents with symptoms of heart failure. Which of the following is a common complication of rheumatic heart disease that may contribute to heart failure?
###Options:
A.  Mitral stenosis
B.  Aortic regurgitation
C.  Hypertrophic cardiomyopathy
D.  Ventricular septal defect
E.  Pericardial effusion

###Answer:",Realated To Africa
"Question: Which of the following is a common complication of untreated rheumatic heart disease in African populations?
###Options:
A.  Pulmonary embolism
B.  Cor pulmonale
C.  Infective endocarditis
D.  Atrial fibrillation
E.  Left ventricular hypertrophy

###Answer:",Realated To Africa
"Question: Which of the following is a common manifestation of schistosomiasis in African children?
###Options:
A.  Hematuria
B.  Peripheral eosinophilia
C.  Hepatosplenomegaly
D.  Clubbing of fingers
E.  All of the above

###Answer:",Realated To Africa
