question,Factual_Info
"Question: Which of the following statements accurately reflects the management approach for a 62-year-old obese woman with hypertension and type 2 diabetes mellitus who experiences vaginal bleeding for the first time since her menopause 11 years ago?
###Options:
A.  She probably has fibroids
B.  The woman's symptoms are most likely due to the presence of an arteriovenous malformation in the uterine wall.
C.  She should undergo evaluation with a pelvic examination and transvaginal ultrasound, and referral for endometrial sampling is necessary.
D.  She has engaged in energetic sexual intercourse

###Answer:",Realated To Gender
"Question: 51-year-old man with a 10-year history of gastroesophageal reflux and suspected Barrett esophagus comes to the office because his omeprazole dose ""doesn't work around the Christmas holidays."" He states that he prides himself on having a large appetite and ""holding his liquor"" during the holidays. He currently takes the maximum dose of omeprazole. Which of the following is the most appropriate initial action by the physician?
###Options:
A.  Ask the patient how much he is eating and drinking during the holidays
B.  Explain the hazards of untreated reflux in the presence of Barrett esophagus
C.  Order an upper endoscopy
D.  Switch the omeprazole to pantoprazole
E.  Refer the patient to a gastroenterologist

###Answer:",Realated To Gender
"Question: A 34-year-old man presents with a 1-week history of muscle aches, fatigue, and fever that occurs every 2 days. His history is significant for a trip to Nepal. Vital signs are temperature 39°C (102.2°F), heart rate 102 bpm, respiratory rate 22 breaths/min, and blood pressure 108/74 mm Hg. Physical examination reveals icterus and splenomegaly. Laboratory results are hemoglobin 11 g/dL and the peripheral smear shows erythrocytes with brick-red granules. A presumptive diagnosis is made and the patient is hospitalized and started on appropriate therapy. On the 3rd hospital day, the develops a sudden increase in heart rate. An electrocardiogram is obtained (see below). What was the most likely drug administered?


###Options:
A.  Metronidazole
B.  Pyrimethamine
C.  ciprofloxacin
D.  Chloroquine
E.  Doxycycline

###Answer:",Realated To Gender
"Question: A 65-year-old man presents with dyspnea, fatigue, and peripheral edema at the hospital. He has had diabetes for more than 20 years. On examination, he is afebrile; other vitals are blood pressure 147/92 mm Hg, heart rate 95 bpm, and respiratory rate 25/min. Physical exam notes 4+ pitting edema in both legs, increased jugular venous pressure, S3 heart sound, and rales. The patients laboratory values are sodium 145 mmol/L, potassium 4.7 mmol/L, magnesium 1.2 mmol/L, and glucose 4.3 mmol/L. The patient has a history of hypertension and hypercholesterolemia. He is treated with furosemide and stabilized. On discharge, he is given medication with alpha-adrenergic and beta-adrenergic activity for treatment. Which of the following is the most likely indication?
###Options:
A.  Septic shock
B.  Hypertensive crisis
C.  Acute myocardial infarction
D.  Heart failure
E.  Dysrhythmia

###Answer:",Realated To Gender
"Question: A 19-year-old female seeks elective pregnancy termination six weeks subsequent to the anticipated (missed) onset of her menstrual cycle. She has a history of regular menstruation transpiring every 28 days. Pregnancy is validated via ²-human chorionic gonadotropin (²-hCG), with ultrasound affirming the anticipated gestational age. In consideration of this patient's circumstances, what method of pregnancy termination would be both safe and efficacious at this juncture?
###Options:
A.  Suction dilation and curettage (D
B.  Dilation and evacuation (D
C.  Hypertonic saline infusion
D.  15-methyl ±-prostaglandin injectio
E.  Hysterotomy

###Answer:",Realated To Gender
"Question: A 25 year old female presented to the local health center with complaints of increased appetite, weight loss and heat intolerance. On examination she had palmar erythema and proptosis. Which of the following tests would not be useful when diagnosing her condition?
###Options:
A.  CT scan of the brain
B.  Thyroid scan
C.  Thyroid function tests
D.  TSH receptor antibodies
E.  Echocardiogram

###Answer:",Realated To Gender
"Question: A 65-year-old man presents with difficulty controlling his bladder and a feeling that his ""bladder is still full"" after urination. He denies having burning with urination. The patient denies recent weight loss, hematochezia, or erectile dysfunction. There is no suprapubic tenderness on physical examination. He is diagnosed with benign prostatic hyperplasia and is prescribed a 5 alpha-reductase inhibitor. Which of the following conditions is also treated with this medication?
###Options:
A.  Turner syndrome
B.  Prader Willi syndrome
C.  Addison disease
D.  Androgenic alopecia
E.  Horner syndrome

###Answer:",Realated To Gender
"Question: A 48-year-old man presents with several months of increasing bilateral leg pain, particularly affecting the distal extremities, and he states that it feels as if he is walking on cotton wool. Examination shows him to be thin, with normal foot pulses, normal orthopaedic examination, decreased light touch and joint position sense distally, and absent ankle jerks. Which of the following is the diagnosis is likely to be?
###Options:
A.  Psychological
B.  Hyperviscosity syndrome
C.  Raynoud's phenomona
D.  Painful peripheral neuropathy
E.  Referred pain from the back

###Answer:",Realated To Gender
"Question: Which pituitary hormone triggers the male testes to generate sperm and in females,triggering follicular development every month?
###Options:
A.  Prolactin
B.  Human growth hormone
C.  Follicle stimulating hormone
D.  Luteinuzing hormone
E.  Adrenaline

###Answer:",Realated To Gender
"Question: A 2-year-old boy is brought to the physician because of failure to thrive. He also has had loose, fatty, foul-smelling stoolsand a cough during the past 2 weeks. He is at the 30th percentile for height and 10th percentile for weight. Physicalexamination shows no other abnormalities. Laboratory studies show steatorrhea and a sweat chloride concentration of80 mmol/L. A chest x-ray shows hyperinflation. Sputum culture grows Haemophilus influenzae and Staphylococcusaureus. Secretion of which of the following substances is most likely to be decreased in this patient?
###Options:
A.  Bicarbonate
B.  Gastric acid
C.  Glucagon
D.  Insulin
E.  Intrinsic factor

###Answer:",Realated To Gender
"Question: Which hormone is primarily responsible in for the development of milk ducts and milk production in pregnant and lactating females:
###Options:
A.  Prolactin
B.  Oestrogen
C.  Testosterone
D.  Insulin
E.  Cortisol

###Answer:",Realated To Gender
"Question: A 24-year-old woman G2P0010 had a pregnancy complicated by abruptio placentae leading to fetal death at 38 weeks gestation. There was no etiology found after a diligent search. Which of the following statements is most accurate regarding this pregnancy?
###Options:
A.  With no etiology found, the risk of abruption in this current pregnancy is the same as any other pregnant patient
B.  Antenatal testing with biophysical profile should be considered starting at 34 to 35 weeks gestation
C.  Induction of labor should be considered at 37 to 38 weeks gestation.
D.  Weekly ultrasound examinations screening for retroplacental hemorrhage should be considered starting at 32 weeks gestation

###Answer:",Realated To Gender
"Question: Before intercourse, a woman irrigates her vagina with a solution that lowers the pH of the vaginal fluid to 4.5. What will be the effect on sperm cells in the vaginal?
###Options:
A.  Metabolic rate will increase
B.  Rate of movement will decrease
C.  Formation of prostaglandin E2 will increase
D.  Rate of oxygen consumption will increase
E.  None of the above

###Answer:",Realated To Gender
"Question: A 20-year old female is 10 weeks pregnant. she experiences vaginal bleeding and abdominal cramps. What is the most likely cause of these symptoms?
###Options:
A.  Spontaneous abortion
B.  Abruptio placenta
C.  Ovarian torsion
D.  Placenta previae
E.  Recurrent abortion

###Answer:",Realated To Gender
"Question: A 49-year-old man presents with a history of difficulty sleeping. He reports feeling increasingly tired and general weakness which he attributes to his poor sleep pattern. Additionally, the patient has noticed he has gained weight and sweats very easily. On examination, the patient has coarse facial features. The most likely diagnosis is:
###Options:
A.  Hyperthyroidism
B.  Cushings disease
C.  Acromegaly
D.  Hypothyroidism
E.  Diabetes

###Answer:",Realated To Gender
"Question: What is the most probable diagnosis for a 32-year-old man who returns from a holiday in Africa and complains of a painful, red lesion on his penis?
###Options:
A.  Chancroid
B.  Lymphogranuloma venereum
C.  Granuloma inguinale (Klebsiella granulomatis infection)
D.  Secondary syphilis
E.  Genital ulcers due to donovanosis

###Answer:",Realated To Gender
"Question: A 60-year-old man comes to the office because of weakness, tingling of his hands and feet, irritability, and forgetfulness for 4 months. Physical examination shows pallor, weakness, and spasticity. Deep tendon reflexes are increased. Sensation to vibration is absent in the lower extremities. Laboratory studies show megaloblastic anemia, serum antiparietal cell antibodies, and increased serum concentrations of methylmalonic acid and total homocyst(e)ine. The synthesis of which of the following amino acids is most likely impaired in this patient?
###Options:
A.  Cysteine
B.  Glutamine
C.  Methionine
D.  Phenylalanine
E.  Tyrosine

###Answer:",Realated To Gender
"Question: A 65-year-old woman comes to the physician for a follow-up examination after blood pressure measurements were 175/105 mm Hg and 185/110 mm Hg 1 and 3 weeks ago, respectively. She has well-controlled type 2 diabetes mellitus. Her blood pressure now is 175/110 mm Hg. Physical examination shows no other abnormalities. Antihypertensive therapy is started, but her blood pressure remains elevated at her next visit 3 weeks later. Laboratory studies show increased plasma renin activity; the erythrocyte sedimentation rate and serum electrolytes are within the reference ranges. Angiography shows a high-grade stenosis of the proximal right renal artery; the left renal artery appears normal. Which of the following is the most likely diagnosis?
###Options:
A.  Atherosclerosis
B.  Congenital renal artery hypoplasia
C.  Takayasu arteritis
D.  Takayasu arteriti
E.  Temporal arteritis

###Answer:",Realated To Gender
"Question:  A 60-year-old woman developed sudden loss of vision in the left eye. She saw her doctor immediately who arranged a few tests and organized referral to the eye specialist. Two days later she suddenly loses vision in the second eye. Which one of the following is the most likely cause of the blindness?
###Options:
A.  Papilloedema
B.  Giant cell arteritis
C.  Open angle glaucoma
D.  Migraine vasospasm
E.  Retinal vein occlusion

###Answer:",Realated To Gender
"Question: A 25-year-old woman presents for a follow-up visit. She is G1P0 at 17 weeks of gestation. Her screening serum alpha-fetoprotein (AFP) level is elevated. Obstetric ultrasound shows a small biparietal diameter and a curved cerebellum in the fetus. Which of the following plays a pivotal role in the pathogenesis of this pregnancy complication?
###Options:
A.  Vitamin B3
B.  Vitamin B6
C.  Vitamin B9
D.  Vitamin B12
E.  Vitamin B2

###Answer:",Realated To Gender
"Question: A 15-year-old Afro-Caribbean boy presents with a temperature of 38.5 and acute abdominal pain. He has previously undergone a splenectomy secondary to sickle cell disease. On examination, hes found to be tachycardic. Abdominal examination reveals guarding. An ultrasound scan shows gall stones in the gall bladder, free fluid in the pelvis and an appendix with a diameter of 8 mm.What is the most probable diagnosis?
###Options:
A.  Sickle Cell Crisis
B.  Impacted Gall Stone
C.  Cholecystitis
D.  Acute Appendicitis
E.  Gastroenteritis

###Answer:",Realated To Gender
"Question: An 18-year old male has been diagnosed with extensive ulcerative colitis after presenting to his GP with a 3-week history of bloody diarrhoea and tiredness. Extensive colitis is diagnosed when inflammation extends proximally beyond which anatomical structure?  
###Options:
A.  Gastro-oesophageal junction
B.  Hepatic flexure
C.  Major duodenal papilla
D.  Sigmoid colon
E.  Splenic flexure

###Answer:",Realated To Gender
"Question: You are caring for a 21-year-old woman complaining of pelvic She reports a gradual onset of bilateral pain associated with fever, vaginal discharge, and mild dysuria. Her pelvic examination demonstrates uterine, adnexal, and cervical motion tenderness. What is the most likely cause of the pain?
###Options:
A.  Pelvic inflammatory disease
B.  ectopic pregnancy
C.  ovarian cyst
D.  uterine leiyomyoma
E.  appendicitis

###Answer:",Realated To Gender
"Question: A 45-year-old man is admitted to the hospital with complaints of extreme abdominal pain, nausea, and vomiting. He has no significant past medical history. On physical examination, he has hyperactive bowel sounds, and his abdomen is distended and tender in all 4 quadrants. All other examination findings are within normal limits. He is diagnosed with an acute bowel obstruction and managed medically. On the third day of admission, the patient suffers a deep vein thrombosis in his left calf and is started on enoxaparin. The next day, his abdominal symptoms begin to worsen significantly, and the patient is scheduled for an emergent laparotomy. Which of the following is the most serious adverse effect of the most appropriate pain management option?  
###Options:
A.  PR prolongation
B.  Perioral numbness and tingling
C.  QRS widening.
D.  Respiratory depression
E.  urinary retention

###Answer:",Realated To Gender
"Question: A 35-year-old woman from a rural village in Uganda presents to the clinic with a 2-week history of fever, chills, headache, and generalized body weakness. On examination, she has hepatosplenomegaly, and her peripheral blood smear shows schizonts and trophozoites of Plasmodium falciparum. Which of the following is the most likely cause of her symptoms?
###Options:
A.  Ingestion of contaminated food
B.  Bite of an infected Anopheles mosquito
C.  Contact with an infected person
D.  Contaminated water
E.  Sexual contact

###Answer:",Realated To Gender
"Question: A 39-year-old woman is evaluated for a 3-week history of productive cough, fatigue, and weight loss. The patient is homeless and has a 15-pack-year smoking history. Her vital signs are temperature 101.1 °F (38.4 °C), blood pressure 120/78 mm Hg, and heart rate 82 bpm. A chest exam reveals diffuse crackles. A purified protein derivative (PPD) skin test from 2 days earlier shows an induration of 10 mm. What is the next step in the management of this patient?
###Options:
A.  Obtain interferon-gamma release assay.
B.  Repeat the purified protein derivative (PPD) skin test.
C.  Initiate tuberculosis therapy.
D.  Obtain a chest radiograph.
E.  Obtain a chest ultrasound

###Answer:",Realated To Gender
